Variation ID	Chromosome	GAD ID	Association	Associated SNPs	Phenotype	Disease Class	Gene	Reference	PubMed	p-Value	Population	Entrez Gene
rs4664951	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs4664951	chr2	734681	Y	rs10497027	Cholesterol, LDL	METABOLIC	MBD5	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		55777
rs4664951	chr2	735189	Y	rs10497030	Lipoproteins, VLDL	METABOLIC	MBD5	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		55777
rs4664951	chr2	726554	Y	rs10497031	Stroke	NEUROLOGICAL	MBD5		0	0.00		55777
rs4664951	chr2	734432	Y	rs6731167	Cholesterol, LDL	METABOLIC	MBD5	Sekar Kathiresan et al. BMC medical genetics 2007	17903299	0.00		55777
rs4664951	chr2	720139	Y	rs12617242	Heart Rate	CARDIOVASCULAR	MBD5		0	0.00		55777
rs2881691	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs2881691	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs843229	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs843229	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs843219	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs843219	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs843220	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs843220	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs2691787	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs2691787	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs17226595	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs17226595	chr2	730233	Y	rs2194398	C-Reactive Protein	CARDIOVASCULAR	PTPRN2	Emelia J Benjamin et al. BMC medical genetics 2007	17903293	0.00		5799
rs7557611	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs6734603	chr2	739840	Y	rs2361748	Respiratory Function Tests	CARDIOVASCULAR	TPO	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		7173
rs9967792	chr2	665741			Sjogren's Syndrome	IMMUNE	STAT4	B D Korman  et al.  2008	18273036			6775
rs9967792	chr2	665742			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Hye-Soon Lee  et al.  2007	17932559			6775
rs9967792	chr2	665743			Arthritis, Rheumatoid|Lupus Erythematosus, Systemic|Rheumatoid Arthritis|Systemic lupus erythematosus	IMMUNE	STAT4	Elaine F Remmers  et al.  2007	17804842			6775
rs9967792	chr2	670696			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Hughes LB  et al.  2010	21120996			6775
rs9967792	chr2	670697			Vitiligo	IMMUNE	STAT4	Birlea SA  et al.  2011	21085187			6775
rs9967792	chr2	670698	N		Autoimmune Diseases|Lupus Erythematosus, Systemic|Systemic lupus erythematosus	IMMUNE	STAT4	Budarf ML  et al.  2011	20962850			6775
rs9967792	chr2	670700			Lupus Erythematosus, Systemic|Systemic lupus erythematosus	IMMUNE	STAT4	Sanchez E  et al.  2010	20848568			6775
rs9967792	chr2	670701	N		Arthritis, Rheumatoid|Atherosclerosis|Cardiovascular Diseases|Rheumatoid Arthritis	CARDIOVASCULAR	STAT4	Palomino-Morales R  et al.  2010	20822712			6775
rs9967792	chr2	670702			Autoimmune Diseases|Endometriosis	IMMUNE	STAT4	Sundqvist J  et al.  2011	20797713			6775
rs9967792	chr2	670703			Precursor Cell Lymphoblastic Leukemia-Lymphoma	CANCER	STAT4	Chang JS  et al.  2010	20716621			6775
rs9967792	chr2	670704			Sjogren's Syndrome	IMMUNE	STAT4	Gestermann N  et al.  2010	20535138			6775
rs9967792	chr2	670705	N		Bronchiolitis, Viral|Respiratory Syncytial Virus Infections	INFECTION	STAT4	Schuurhof A  et al.  2010	20503287			6775
rs9967792	chr2	670706			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Plant D  et al.  2010	20498205			6775
rs9967792	chr2	670707			Glomerulonephritis, IGA|IGA Glomerulonephritides|Lupus Nephritis|Nephritis SLE	RENAL	STAT4	Vuong MT  et al.  2010	20479942			6775
rs9967792	chr2	670708			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Tan RJ  et al.  2010	20444755			6775
rs9967792	chr2	670709			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	van der Helm-van Mil AH  et al.  2010	20439292			6775
rs9967792	chr2	670710			Behcet Syndrome|Uveomeningoencephalitic Syndrome	IMMUNE	STAT4	Hu K  et al.  2010	20438790			6775
rs9967792	chr2	670711	N		Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma	CANCER	STAT4	Han S  et al.  2010	20438785			6775
rs9967792	chr2	670712	N		Meningeal Neoplasms|meningioma	CANCER	STAT4	Rajaraman P  et al.  2010	20406964			6775
rs9967792	chr2	670713			Scleroderma, Systemic|Systemic Scleroderma	IMMUNE	STAT4	Radstake TR  et al.  2010	20383147			6775
rs9967792	chr2	670714			Tobacco Use Disorder	CHEMDEPENDENCY	STAT4	Rose J  et al.  2010	20379614			6775
rs9967792	chr2	670715			Sjogren's Syndrome	IMMUNE	STAT4	Palomino-Morales RJ  et al.  2010	20360187			6775
rs9967792	chr2	670716			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Morgan AW  et al.  2010	20353580			6775
rs9967792	chr2	670717			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Kelley JM  et al.  2010	20237121			6775
rs9967792	chr2	670718			Arthritis, Rheumatoid|Rheumatoid Arthritis	IMMUNE	STAT4	Karlson EW  et al.  2010	20233754			6775
rs9967792	chr2	670719			Chronic ulcerative colitis|Colitis, Ulcerative|Crohn Disease|Crohn's disease	IMMUNE	STAT4	Moon CM  et al.  2010	20176035			6775
rs9967792	chr2	670720			Lupus Erythematosus, Systemic|Systemic lupus erythematosus	IMMUNE	STAT4	Yuan H  et al.  2010	20169389			6775
rs9967792	chr2	670721			Chronic ulcerative colitis|Colitis, Ulcerative|Crohn Disease|Crohn's disease	IMMUNE	STAT4	Diaz-Gallo LM  et al.  2010	20153791			6775
rs9967792	chr2	670722			Antiphospholipid Syndrome|Lupus Erythematosus, Systemic|Systemic lupus erythematosus	IMMUNE	STAT4	Fredi M  et al.  2010	20131273			6775
rs9967792	chr2	670723			Arthritis, Juvenile Rheumatoid|Arthritis, Rheumatoid|Chronic Childhood Arthritis|Rheumatoid Arthritis	IMMUNE	STAT4	Hinks A  et al.  2010	19674979			6775
rs9967792	chr2	670699		rs7574865-T	Lupus Erythematosus, Systemic|Systemic lupus erythematosus	IMMUNE	STAT4	Webb R  et al.  2011	20881011			6775
rs9967792	chr2	135529	Y		asthma	IMMUNE	STAT4	Park, B. L.  et al. 2005	15744455			6775
rs9967792	chr2	135530			asthma	IMMUNE	STAT4	Pykalainen, M.  et al. 2005	15637551			6775
rs9967792	chr2	154056	Y		asthma	IMMUNE	STAT4	Li, Y.  et al. 2007	17532201			6775
rs9967792	chr2	559254	N		Wegener's granulomatosis	IMMUNE	STAT4	Stefan Wieczorek  , et al.  Journal of molecular medicine   2010 Jan	20049410			6775
rs9967792	chr2	559255				UNKNOWN	STAT4	Won-Ho Hahn  , et al.  Cytokine  2009 Dec	20045654			6775
rs9967792	chr2	559256			systemic sclerosis	IMMUNE	STAT4	Pravitt Gourh  , et al.  Arthritis and rheumatism  2009 60(12):3794-806	19950257			6775
rs9967792	chr2	559257			Scleroderma, Systemic	IMMUNE	STAT4	P Dieude  , et al.  Arthritis and rheumatism  2009 60(11):3447-54	19877059		FRANCE|GERMANY	6775
rs9967792	chr2	559258			Lupus Erythematosus, Systemic	IMMUNE	STAT4	Jian-Wen Han  , et al.  Nature genetics  2009 41(11):1234-7	19838193			6775
rs9967792	chr2	559259	Y		systemic lupus erythematosus	IMMUNE	STAT4	Elisabet Svenungsson  , et al.  Annals of the rheumatic diseases  2009 Oct	19762360			6775
rs9967792	chr2	559260			Arthritis, Rheumatoid|	IMMUNE	STAT4	Annie McClure  , et al.  Rheumatology   2009 48(11):1369-74	19741008			6775
rs9967792	chr2	559261			Arthritis, Rheumatoid	IMMUNE	STAT4	Hua Li  , et al.  Rheumatology   2009 48(11):1363-8	19737838			6775
rs9967792	chr2	559262	Y		systemic lupus erythematosus 	IMMUNE	STAT4	Anna Hellquist  , et al.  Annals of the rheumatic diseases  2009 Aug	19717398			6775
rs9967792	chr2	559263			Lupus Erythematosus, Systemic	IMMUNE	STAT4	Chikako Kiyohara  , et al.  The Journal of rheumatology  2009 36(10):2195-203	19684152		JAPAN	6775
rs9967792	chr2	559264			Pulmonary Fibrosis|Scleroderma, Systemic	CARDIOVASCULAR	STAT4	P Dieude  , et al.  Arthritis and rheumatism  2009 60(8):2472-9	19644887		FRANCE	6775
rs9967792	chr2	559265			Antiphospholipid Syndrome|	IMMUNE	STAT4	Hong Yin  , et al.  Arthritis and rheumatism  2009 60(8):2468-71	19644876			6775
rs9967792	chr2	559266			Scleroderma, Systemic	IMMUNE	STAT4	N Tsuchiya  , et al.  Annals of the rheumatic diseases  2009 68(8):1375-6	19605749			6775
rs9967792	chr2	559269			Arthritis|Arthritis, Juvenile Rheumatoid|Arthritis, Rheumatoid|Autoimmune Diseases|Lupus Erythematosus, Systemic	IMMUNE	STAT4	Sampath Prahalad  , et al.  Arthritis and rheumatism  2009 60(7):2124-30	19565500			6775
rs9967792	chr2	559270	Y		Psoriasis	IMMUNE	STAT4	Maria I Zervou  , et al.  Human immunology  2009 70(9):738-41	19500629		GREECE	6775
rs9967792	chr2	559271			rheumatoid arthritis	IMMUNE	STAT4	Jong Dae Ji  , et al.  Molecular biology reports  2010 37(1):141-7	19479340			6775
rs9967792	chr2	559273			systemic lupus erythematosus 	IMMUNE	STAT4	Marian Suarez-Gestal  , et al.  Arthritis research &amp; therapy  2009 11(3):R69	19442287			6775
rs9967792	chr2	559274			Arthritis, Rheumatoid|	IMMUNE	STAT4	Nina A Daha  , et al.  Arthritis and rheumatism  2009 60(5):1255-60	19404967			6775
rs9967792	chr2	559275			diabetes, type 2	METABOLIC	STAT4	Diamantis Kofteridis  , et al.  Genetic testing and molecular biomarkers  2009 13(2):281-4	19371230		GREECE	6775
rs9967792	chr2	559276			Lupus Erythematosus, Systemic	IMMUNE	STAT4	Bahram Namjou  , et al.  Arthritis and rheumatism  2009 60(4):1085-95	19333953		UNITED STATES	6775
rs9967792	chr2	559277	N		Giant Cell Arteritis	CARDIOVASCULAR	STAT4	Rogelio Palomino-Morales  , et al.  The Journal of rheumatology  2009 36(5):1021-5	19332627			6775
rs9967792	chr2	559278				UNKNOWN	STAT4		19286670			6775
rs9967792	chr2	559279				UNKNOWN	STAT4		19282076			6775
rs9967792	chr2	559280	N		respiratory syncytial virus bronchiolitis	INFECTION	STAT4	Christine L E Siezen  , et al.  The Pediatric infectious disease journal  2009 28(4):333-5	19258923			6775
rs9967792	chr2	559281			Lupus Erythematosus, Systemic	IMMUNE	STAT4	W Yang  , et al.  Genes and immunity  2009 10(3):219-26	19225526		HONG KONG	6775
rs9967792	chr2	559282	Y		diabetes, type 1 	IMMUNE	STAT4	Hye-Soon Lee  , et al.  Annals of the New York Academy of Sciences  2008 1150():93-8	19120275			6775
rs9967792	chr2	559283			diabetes, type 1 	IMMUNE	STAT4	E Y M G Fung  , et al.  Genes and immunity  2009 10(2):188-91	19110536			6775
rs9967792	chr2	559284			Sjogren's Syndrome	IMMUNE	STAT4	G Nordmark  , et al.  Genes and immunity  2009 10(1):68-76	19092842		NORWAY|SWEDEN	6775
rs9967792	chr2	559285			Lupus Erythematosus, Systemic	IMMUNE	STAT4	A-K Abelson  , et al.  Annals of the rheumatic diseases  2009 68(11):1746-53	19019891			6775
rs9967792	chr2	559286			Lupus Erythematosus, Systemic	IMMUNE	STAT4	Aya Kawasaki  , et al.  Arthritis research &amp; therapy  2009 10(5):R113	18803832			6775
rs9967792	chr2	559287			immune-mediated diseases	IMMUNE	STAT4	A  Martinez   , et al.  Arthritis and rheumatism  2008 58(9):2598-602	18759272			6775
rs9967792	chr2	559288			diabetes, type 1 	IMMUNE	STAT4	Maria I Zervou  , et al.  Human immunology  2008 69(10):647-50	18703106			6775
rs9967792	chr2	559289			Arthritis, Rheumatoid|	IMMUNE	STAT4	Maria I Zervou  , et al.  Human immunology  2008 69(9):567-71	18625278		GREECE	6775
rs9967792	chr2	559290			Lupus Erythematosus, Systemic	IMMUNE	STAT4	Snaevar Sigurdsson  , et al.  Human molecular genetics  2008 17(18):2868-76	18579578			6775
rs9967792	chr2	559291			Arthritis, Rheumatoid	IMMUNE	STAT4	Gisela Orozco  , et al.  Arthritis and rheumatism  2008 58(7):1974-80	18576336		NETHERLANDS|SPAIN|SWEDEN	6775
rs9967792	chr2	559292			Arthritis, Rheumatoid|Lupus Erythematosus, Systemic	IMMUNE	STAT4	Shu Kobayashi  , et al.  Arthritis and rheumatism  2008 58(7):1940-6	18576330		JAPAN	6775
rs9967792	chr2	559293			Lupus Erythematosus, Systemic|Lupus Nephritis	IMMUNE	STAT4	Kimberly E Taylor  , et al.  PLoS genetics  2008 4(5):e1000084	18516230			6775
rs9967792	chr2	559294	Y		Arthritis, Rheumatoid|	IMMUNE	STAT4	Anne Barton  , et al.  Human molecular genetics  2008 17(15):2274-9	18434327			6775
rs9967792	chr2	559295			Arthritis, Rheumatoid|Lupus Erythematosus, Systemic	IMMUNE	STAT4	R J Palomino-Morales  , et al.  Genes and immunity  2008 9(4):379-82	18432273		COLOMBIA	6775
rs9967792	chr2	559296			Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections	INFECTION	STAT4	Riny Janssen  , et al.  The Journal of infectious diseases  2007 196(6):826-34	17703412			6775
rs9967792	chr2	599747	Y	rs3821236-?	systemic lupus erythematosus	IMMUNE	STAT4	Graham ,et al. 2008	18677312		 	6775
rs9967792	chr2	559267		rs7574865	Antiphospholipid Syndrome	IMMUNE	STAT4	T Horita  , et al.  Annals of the rheumatic diseases  2009 68(8):1366-7	19605742			6775
rs9967792	chr2	559272	Y	rs7574865	rheumatoid arthritis	IMMUNE	STAT4	Klaus Stark  , et al.  Arthritis research & therapy  2009 11(3):R70	19445664	9.2*10-6		6775
rs9967792	chr2	559268		rs7574865 	rheumatoid arthritis	IMMUNE	STAT4	Young Ho Lee  , et al.  Rheumatology international  2009 Jul	19588142			6775
rs9967792	chr2	599746	Y	rs7574865-A	systemic lupus erythematosus	IMMUNE	STAT4	Han ,et al. 2009	19838193		 	6775
rs9967792	chr2	599748	Y	rs7574865-T	systemic lupus erythematosus	IMMUNE	STAT4	Hom ,et al. 2008	18204098		NORTH AMERICA|SWEDEN	6775
rs9967792	chr2	721317	Y	rs3024896	Insulin	METABOLIC	STAT4		0	0.00		6775
rs9967792	chr2	741399	Y	rs3821236	Lupus Erythematosus, Systemic	IMMUNE	STAT4	Robert R Graham et al. Nature genetics 2008	19165918	0.00		6775
rs9967792	chr2	743475	Y	rs3821236	Scleroderma, Systemic	IMMUNE	STAT4	Timothy R D J Radstake et al. Nature genetics 2010	20383147	0.00		6775
rs9967792	chr2	746151	Y	rs3821236	Scleroderma, Systemic	IMMUNE	STAT4	Olga Gorlova et al. PLoS genetics 2011	21779181	0.00		6775
rs9967792	chr2	712547	Y	rs16833215	Basophils	IMMUNE	STAT4		0	0.00		6775
rs9967792	chr2	740245	Y	rs7574865	Lupus Erythematosus, Systemic	IMMUNE	STAT4	Geoffrey Hom et al. The New England journal of medicine 2008	18204098	0.00		6775
rs9967792	chr2	740246	Y	rs7574865	Lupus Erythematosus, Systemic	IMMUNE	STAT4	Geoffrey Hom et al. The New England journal of medicine 2008	18204098	0.00		6775
rs9967792	chr2	742336	Y	rs7574865	Lupus Erythematosus, Systemic	IMMUNE	STAT4	Jian-Wen Han et al. Nature genetics 2009	19838193	0.00		6775
rs9967792	chr2	743607	Y	rs7574865	Arthritis, Rheumatoid	IMMUNE	STAT4	Yuta Kochi et al. Nature genetics 2010	20453841	0.00		6775
rs9967792	chr2	743627	Y	rs7574865	Arthritis, Rheumatoid	IMMUNE	STAT4	Eli A Stahl et al. Nature genetics 2010	20453842	0.00		6775
rs9967792	chr2	745398	Y	rs7574865	Autoimmune Diseases	IMMUNE	STAT4	Alexandra Zhernakova et al. PLoS genetics 2011	21383967	0.00		6775
rs9967792	chr2	745501	Y	rs7574865	Lupus Erythematosus, Systemic	IMMUNE	STAT4	Sharon A Chung et al. PLoS genetics 2011	21408207	0.00		6775
rs9967792	chr2	746101	Y	rs7574865	Sclerosis	IMMUNE	STAT4	Yannick Allanore et al. PLoS genetics 2011	21750679	0.00		6775
rs7570606	chr2	676597			Tobacco Use Disorder	CHEMDEPENDENCY	DNAH7	Rose J  et al.  2010	20379614			56171
rs7570606	chr2	724828	Y	rs16841387	Neuroblastoma	CANCER	DNAH7		0	0.00		56171
rs7570606	chr2	729433	Y	rs6434804	Creatinine	METABOLIC	DNAH7	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		56171
rs7570606	chr2	729635	Y	rs6434804	Glomerular Filtration Rate	RENAL	DNAH7	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		56171
rs7570606	chr2	724915	Y	rs186895	Neuroblastoma	CANCER	DNAH7		0	0.00		56171
rs7570606	chr2	724833	Y	rs341933	Neuroblastoma	CANCER	DNAH7		0	0.00		56171
rs7570606	chr2	724996	Y	rs1489802	Neuroblastoma	CANCER	DNAH7		0	0.00		56171
rs1409612	chr2	114567	Y		Alzheimer's Disease	NEUROLOGICAL	ABCA12	Ohkubo, T.  et al. 2005	15980630		Japanese	26154
rs1409612	chr2	674135			Tobacco Use Disorder	CHEMDEPENDENCY	ABCA12	Rose J  et al.  2010	20379614			26154
rs6075643	chr20	726302	Y	rs6083041	Stroke	NEUROLOGICAL	TGM6		0	0.00		343641
rs6075643	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs6075643	chr20	719784	Y	rs2255255	Heart Failure	CARDIOVASCULAR	C20orf26		0	0.00		26074
rs6075643	chr20	674750			Tobacco Use Disorder	CHEMDEPENDENCY	C20ORF26	Rose J  et al.  2010	20379614			26074
rs6075643	chr20	719762	Y	rs2273058	Heart Failure	CARDIOVASCULAR	C20orf26		0	0.00		26074
rs6075643	chr20	715702	Y	rs6046580	Breath Tests	OTHER	C20orf26		0	0.00		26074
rs13042906	chr20	726302	Y	rs6083041	Stroke	NEUROLOGICAL	TGM6		0	0.00		343641
rs13042906	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs7262414	chr20	726302	Y	rs6083041	Stroke	NEUROLOGICAL	TGM6		0	0.00		343641
rs7262414	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs7262414	chr20	153055			breast cancer colorectal cancer leukemia liver cancer lung cancer stomach cancer	CANCER	PTPRT	Lee, J. W.  et al. 2007	17223850			11122
rs7262414	chr20	596210			Pancreatic Neoplasms	CANCER	PTPRT	Amanda Blackford  , et al.  Cancer research  2009 69(8):3681-8	19351817			11122
rs7262414	chr20	596211			Arthritis, Rheumatoid|	IMMUNE	PTPRT	Antonio  Julia  , et al.  Arthritis and rheumatism  2008 58(8):2275-86	18668548		SPAIN	11122
rs7262414	chr20	596212			Tobacco Use Disorder	CHEMDEPENDENCY	PTPRT	George R Uhl  , et al.  Archives of general psychiatry  2008 65(6):683-93	18519826			11122
rs7262414	chr20	600343	Y		smoking cessation	CHEMDEPENDENCY	PTPRT	Uhl ,et al. Pharmacogenomics 2010	20235792			11122
rs7262414	chr20	710475			Tobacco Use Disorder	CHEMDEPENDENCY	PTPRT	Rose J  et al.  2010	20379614			11122
rs7262414	chr20	710476			Alcoholism	CHEMDEPENDENCY	PTPRT	Joslyn G  et al.  2010	20201926			11122
rs2868853	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs2868853	chr20	724881	Y	rs17322289	Neuroblastoma	CANCER	STK4		0	0.00		6789
rs2868853	chr20	575166			lung cancer 	CANCER	EYA2	Yen-Tsung Huang  , et al.  Journal of clinical oncology   2009 27(16):2660-7	19414679		MASSACHUSETTS|NORWAY	2139
rs2868853	chr20	686167	N		Type 2 Diabetes| edema | rosiglitazone	PHARMACOGENOMIC	EYA2	Bailey SD  et al.  2010	20628086			2139
rs2868853	chr20	686168			Tobacco Use Disorder	CHEMDEPENDENCY	EYA2	Rose J  et al.  2010	20379614			2139
rs2868853	chr20	686169			Alcoholism	CHEMDEPENDENCY	EYA2	Joslyn G  et al.  2010	20201926			2139
rs2868853	chr20	737278	Y	rs1206765	Blood Flow Velocity	CARDIOVASCULAR	EYA2	Ramachandran S Vasan et al. BMC medical genetics 2007	17903301	0.00		
rs2868853	chr20	737279	Y	rs1206767	Blood Flow Velocity	CARDIOVASCULAR	EYA2	Ramachandran S Vasan et al. BMC medical genetics 2007	17903301	0.00		
rs2868853	chr20	723896	Y	rs4809607	monocyte chemoattractant protein 1 (66-77)	IMMUNE	EYA2		0	0.00		
rs2868853	chr20	739604	Y	rs2145133	Respiratory Function Tests	CARDIOVASCULAR	EYA2	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		
rs2868853	chr20	729341	Y	rs4810599	Calcium	METABOLIC	EYA2	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		
rs2868853	chr20	712379	Y	rs6094594	Asthma	IMMUNE	EYA2		0	0.00		
rs3787249	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs3787249	chr20	724881	Y	rs17322289	Neuroblastoma	CANCER	STK4		0	0.00		6789
rs3787249	chr20	575166			lung cancer 	CANCER	EYA2	Yen-Tsung Huang  , et al.  Journal of clinical oncology   2009 27(16):2660-7	19414679		MASSACHUSETTS|NORWAY	2139
rs3787249	chr20	686167	N		Type 2 Diabetes| edema | rosiglitazone	PHARMACOGENOMIC	EYA2	Bailey SD  et al.  2010	20628086			2139
rs3787249	chr20	686168			Tobacco Use Disorder	CHEMDEPENDENCY	EYA2	Rose J  et al.  2010	20379614			2139
rs3787249	chr20	686169			Alcoholism	CHEMDEPENDENCY	EYA2	Joslyn G  et al.  2010	20201926			2139
rs3787249	chr20	737278	Y	rs1206765	Blood Flow Velocity	CARDIOVASCULAR	EYA2	Ramachandran S Vasan et al. BMC medical genetics 2007	17903301	0.00		
rs3787249	chr20	737279	Y	rs1206767	Blood Flow Velocity	CARDIOVASCULAR	EYA2	Ramachandran S Vasan et al. BMC medical genetics 2007	17903301	0.00		
rs3787249	chr20	723896	Y	rs4809607	monocyte chemoattractant protein 1 (66-77)	IMMUNE	EYA2		0	0.00		
rs3787249	chr20	739604	Y	rs2145133	Respiratory Function Tests	CARDIOVASCULAR	EYA2	Jemma B Wilk et al. BMC medical genetics 2007	17903307	0.00		
rs3787249	chr20	729341	Y	rs4810599	Calcium	METABOLIC	EYA2	Shih-Jen Hwang et al. BMC medical genetics 2007	17903292	0.00		
rs3787249	chr20	712379	Y	rs6094594	Asthma	IMMUNE	EYA2		0	0.00		
rs6019687	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs6019687	chr20	724881	Y	rs17322289	Neuroblastoma	CANCER	STK4		0	0.00		6789
rs2426414	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs2426414	chr20	724881	Y	rs17322289	Neuroblastoma	CANCER	STK4		0	0.00		6789
rs919197	chr20	741782	Y	rs2326679	Menopause	REPRODUCTION	LRRN4	Lisette Stolk et al. Nature genetics 2009	19448619	0.00		164312
rs919197	chr20	724881	Y	rs17322289	Neuroblastoma	CANCER	STK4		0	0.00		6789
rs919197	chr20	687423			Body Weight	METABOLIC	GNAS	Ulrich H Frey  et al.  2008	18192900			2778
rs919197	chr20	687424			Leukemia, Lymphocytic, Chronic, B-Cell	CANCER	GNAS	Mohd Arifin Kaderi  et al.  2008	18006055			2778
rs919197	chr20	691038			melanoma|Neoplasm Metastasis	CANCER	GNAS	Frey UH  et al.  2010	21156401			2778
rs919197	chr20	691039	N		Type 2 Diabetes| edema | rosiglitazone	PHARMACOGENOMIC	GNAS	Bailey SD  et al.  2010	20628086			2778
rs919197	chr20	691040			normal variation	UNKNOWN	GNAS	Cross DS  et al.  2010	20565774			2778
rs919197	chr20	691041	N		Bulimia	PSYCH	GNAS	Pinheiro AP  et al.  2010	20468064			2778
rs919197	chr20	691042			Malaria, Falciparum	INFECTION	GNAS	Eid NA  et al.  2010	20459687			2778
rs919197	chr20	691043			Goiter, Nodular|Thyrotoxicosis	UNKNOWN	GNAS	Liu C  et al.  2010	20336923			2778
rs919197	chr20	691044			Alcoholism	CHEMDEPENDENCY	GNAS	Joslyn G  et al.  2010	20201926			2778
rs919197	chr20	691045			Takotsubo Cardiomyopathy	CARDIOVASCULAR	GNAS	Spinelli L  et al.  2010	20023040			2778
rs919197	chr20	691046			atherosclerosis	CARDIOVASCULAR	GNAS	McGeachie M  et al.  2009	19948975			2778
rs919197	chr20	691047			Fibrous Dysplasia of Bone|Osteitis Fibrosa Disseminata|osteosarcoma	UNKNOWN	GNAS	Tang J  et al.  2009	19575869			2778
rs919197	chr20	711543	Y	rs8125112	Albumins	METABOLIC	GNAS		0	0.00		2778
rs919197	chr20	139581	Y		hypertension	CARDIOVASCULAR	GNAS	Abe M 2002	12215464	p=0.0005	>2000 Japanese individuals	2778
rs919197	chr20	139582	Y		hypertension	CARDIOVASCULAR	GNAS	Jia H et al. 1999	10406816			2778
rs919197	chr20	139583			hypotension, orthostatic	OTHER	GNAS	Tabara, Y.  et al. 2002	11910300			2778
rs919197	chr20	139584	N		depression	PSYCH	GNAS	Zill, P.  et al. 2002	12116190			2778
rs919197	chr20	139585	Y		hypertension; autonomic nervous system dysfunction	CARDIOVASCULAR	GNAS	Yasuda, K.  et al. 2004	15479166		Japanese	2778
