Pathway ID	Description	Parent(s)	p-Value	Genes Involved	Variation IDs
R-HSA-195721	Signaling by WNT	Signal Transduction	0.758102	HIST1H2BN,PDE6A,TNRC6A	rs200991,rs200995,rs201002,rs3776069,rs9930029
R-HSA-5663202	Diseases of signal transduction	Disease	0.776541	ERBB3,TGFBR2	rs17025857,rs2292239
R-HSA-6798695	Neutrophil degranulation	Immune System	0.803350	RAB5B,GM2A,PGM1	rs11208264,rs17659728,rs1873914,rs2269238,rs2269239,rs2269241,rs3790857,rs4643,rs705698
R-HSA-8953897	Cellular responses to external stimuli	Cellular responses to external stimuli	0.805672	DEPDC5,YWHAE,NR3C2,HIST1H2BN,TNRC6A	rs16945811,rs17484678,rs200991,rs200995,rs201002,rs5994443,rs9930029
R-HSA-69278	Cell Cycle, Mitotic	Cell Cycle	0.810172	HIST1H2BN,NEK6,YWHAE,CCND3,ZW10	rs16927327,rs16945811,rs17541153,rs200991,rs200995,rs201002,rs4607417
R-HSA-422475	Axon guidance	Developmental Biology	0.819101	CACNB2,ITGA2,TIAM1,ROBO2	rs11700615,rs4237348,rs43188,rs9808969
R-HSA-199991	Membrane Trafficking	Vesicle-mediated transport	0.823361	RAB5B,PRKAG2,SBF2,YWHAE,GRIA1,ZW10	rs10035262,rs10500712,rs16945811,rs17541153,rs1873914,rs705698,rs7780008
R-HSA-1640170	Cell Cycle	Cell Cycle	0.827270	YWHAE,NEK6,CCND3,HUS1,HIST1H2BN,ZW10	rs16927327,rs16945811,rs17541153,rs200991,rs200995,rs201002,rs4607417,rs7783847
R-HSA-1280218	Adaptive Immune System	Immune System	0.855066	BTN3A1,CLEC2D,ASB5,HLA-DQA1,BTN3A3,BTN2A1,ASB7	rs10456045,rs11052372,rs2114870,rs2128427,rs2237236,rs6598368,rs7310460,rs7763910,rs9272346,rs9272723
R-HSA-1266738	Developmental Biology	Developmental Biology	0.867465	CACNB2,KRT86,CCND3,ITGA2,HIST1H2BN,TIAM1,RUNX1,CTNNA2,ROBO2	rs10876266,rs11700615,rs13390216,rs200991,rs200995,rs201002,rs41513350,rs4237348,rs43188,rs4607417,rs9808969
R-HSA-1430728	Metabolism	Metabolism	0.898107	SLC44A3,CACNB2,GNAS,ALDH2,PRKAG2,SBF2,ACAD10,SCD5,RORA,BCO2,GM2A,ABCA1,ACOXL,PGM1,SGMS1,TPH1,IMPAD1,ADCY8	rs10187034,rs10500712,rs10741734,rs10744777,rs10958514,rs11208264,rs12686004,rs1435447,rs17005996,rs17237810,rs17659728,rs2115763,rs2269238,rs2269239,rs2269241,rs2842107,rs3790857,rs4237348,rs4643,rs634389,rs6706577,rs7780008,rs782916,rs859065,rs919197
R-HSA-109581	Apoptosis	Programmed Cell Death	1.000000	YWHAE	rs16945811
R-HSA-1257604	PIP3 activates AKT signaling	Signal Transduction	1.000000	ERBB3,TNRC6A	rs2292239,rs9930029
R-HSA-1474228	Degradation of the extracellular matrix	Extracellular matrix organization	1.000000	SCUBE3	rs4713843
R-HSA-1483206	Glycerophospholipid biosynthesis	Metabolism	1.000000	SLC44A3	rs859065
R-HSA-1500931	Cell-Cell communication	Cell-Cell communication	1.000000	CLDN10	rs7995795
R-HSA-196854	Metabolism of vitamins and cofactors	Metabolism	1.000000	BCO2	rs2115763
R-HSA-199418	Negative regulation of the PI3K/AKT network	Signal Transduction	1.000000	ERBB3	rs2292239
R-HSA-199977	ER to Golgi Anterograde Transport	Vesicle-mediated transport;Metabolism of proteins	1.000000	GRIA1	rs10035262
R-HSA-201681	TCF dependent signaling in response to WNT	Signal Transduction	1.000000	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-202403	TCR signaling	Immune System	1.000000	HLA-DQA1	rs9272346,rs9272723
R-HSA-202424	Downstream TCR signaling	Immune System	1.000000	HLA-DQA1	rs9272346,rs9272723
R-HSA-212165	Epigenetic regulation of gene expression	Gene expression (Transcription)	1.000000	HIST1H2BN	rs200991,rs200995,rs201002
R-HSA-2132295	MHC class II antigen presentation	Immune System	1.000000	HLA-DQA1	rs9272346,rs9272723
R-HSA-2467813	Separation of Sister Chromatids	Cell Cycle	1.000000	ZW10	rs17541153
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	Cell Cycle	1.000000	ZW10	rs17541153
R-HSA-2555396	Mitotic Metaphase and Anaphase	Cell Cycle	1.000000	ZW10	rs17541153
R-HSA-3371556	Cellular response to heat stress	Cellular responses to external stimuli	1.000000	YWHAE	rs16945811
R-HSA-372790	Signaling by GPCR	Signal Transduction	1.000000	GNAS,P2RY12,PDE1C,BCO2,PDE6A,GRM8,TIAM1,NPSR1,CAMKMT,ADCY8	rs10487463,rs11700615,rs1435447,rs17160736,rs2115763,rs323925,rs3776069,rs3821664,rs6721746,rs919197
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	Signal Transduction	1.000000	P2RY12,NPSR1	rs323925,rs3821664
R-HSA-373760	L1CAM interactions	Developmental Biology	1.000000	ITGA2	rs43188
R-HSA-375276	Peptide ligand-binding receptors	Signal Transduction	1.000000	NPSR1	rs323925
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Metabolism of proteins	1.000000	EVA1A	rs17727191
R-HSA-382556	ABC-family proteins mediated transport	Transport of small molecules	1.000000	ABCA12	rs1409612
R-HSA-388396	GPCR downstream signalling	Signal Transduction	1.000000	P2RY12,GNAS,PDE1C,BCO2,PDE6A,GRM8,TIAM1,NPSR1,CAMKMT,ADCY8	rs10487463,rs11700615,rs1435447,rs17160736,rs2115763,rs323925,rs3776069,rs3821664,rs6721746,rs919197
R-HSA-388841	Costimulation by the CD28 family	Immune System	1.000000	HLA-DQA1	rs9272346,rs9272723
R-HSA-392499	Metabolism of proteins	Metabolism of proteins	1.000000	USP28,INO80C,NR3C2,HIST1H2BN,RAB5B,ASB5,GRIA1,RORA,GFPT2,OTUD7A,OPCML,TGFBR2,ST6GALNAC5,ASB7,THSD4,TULP4,CAMKMT,EVA1A	rs10035262,rs11223425,rs11858454,rs12907720,rs1633548,rs1633550,rs17025857,rs17237810,rs17484678,rs17727191,rs1873914,rs200991,rs200995,rs201002,rs2112594,rs2128427,rs2155373,rs2513574,rs2519200,rs341160,rs355334,rs41515647,rs6598368,rs6721746,rs705698,rs7170060,rs782916,rs8032794
R-HSA-416476	G alpha (q) signalling events	Signal Transduction	1.000000	NPSR1	rs323925
R-HSA-453274	Mitotic G2-G2/M phases	Cell Cycle	1.000000	YWHAE	rs16945811
R-HSA-453279	Mitotic G1-G1/S phases	Cell Cycle	1.000000	CCND3	rs4607417
R-HSA-500792	GPCR ligand binding	Signal Transduction	1.000000	GNAS,P2RY12,GRM8,NPSR1	rs10487463,rs323925,rs3821664,rs919197
R-HSA-5357801	Programmed Cell Death	Programmed Cell Death	1.000000	YWHAE	rs16945811
R-HSA-5617833	Cilium Assembly	Organelle biogenesis and maintenance	1.000000	YWHAE	rs16945811
R-HSA-5653656	Vesicle-mediated transport	Vesicle-mediated transport	1.000000	GRIA1,RAB5B,SBF2,PRKAG2,YWHAE,ZW10	rs10035262,rs10500712,rs16945811,rs17541153,rs1873914,rs705698,rs7780008
R-HSA-5663220	RHO GTPases Activate Formins	Signal Transduction	1.000000	ZW10	rs17541153
R-HSA-5673001	RAF/MAP kinase cascade	Immune System;Signal Transduction	1.000000	ERBB3,SYNGAP1	rs10807124,rs2292239
R-HSA-5684996	MAPK1/MAPK3 signaling	Signal Transduction	1.000000	ERBB3,SYNGAP1	rs10807124,rs2292239
R-HSA-5696398	Nucleotide Excision Repair	DNA Repair	1.000000	INO80C	rs355334
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	Immune System	1.000000	RORA	rs17237810,rs782916
R-HSA-6807070	PTEN Regulation	Signal Transduction	1.000000	TNRC6A	rs9930029
R-HSA-6809371	Formation of the cornified envelope	Developmental Biology	1.000000	KRT86	rs10876266
R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	Vesicle-mediated transport	1.000000	ZW10	rs17541153
R-HSA-68882	Mitotic Anaphase	Cell Cycle	1.000000	ZW10	rs17541153
R-HSA-69275	G2/M Transition	Cell Cycle	1.000000	YWHAE	rs16945811
R-HSA-72163	mRNA Splicing - Major Pathway	Metabolism of RNA	1.000000	CCAR1	rs1566222
R-HSA-72172	mRNA Splicing	Metabolism of RNA	1.000000	CCAR1	rs1566222
R-HSA-877300	Interferon gamma signaling	Immune System	1.000000	HLA-DQA1	rs9272346,rs9272723
R-HSA-8856688	Golgi-to-ER retrograde transport	Vesicle-mediated transport	1.000000	ZW10	rs17541153
R-HSA-8856828	Clathrin-mediated endocytosis	Vesicle-mediated transport	1.000000	RAB5B	rs1873914,rs705698
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	Developmental Biology	1.000000	ROBO2	rs9808969
R-HSA-948021	Transport to the Golgi and subsequent modification	Metabolism of proteins	1.000000	GRIA1	rs10035262
R-HSA-9607240	FLT3 Signaling	Immune System	1.000000	ERBB3,SYNGAP1	rs10807124,rs2292239
R-HSA-9609507	Protein localization	Protein localization	1.000000	SAMM50	rs738494
R-HSA-9612973	Autophagy	Autophagy	1.000000	PRKAG2	rs7780008
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	Immune System	1.000000	ASB5,ASB7	rs2128427,rs6598368
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	Hemostasis	1.000000	DOCK10	rs4673129
