Alpha,Beta,Distance_to_nearest_downstream_x,Distance_to_nearest_upstream_x,Downstream_nearest_genomic_feature_x,Known_Phenotype_x,MAF_x,Overlap_x,Overlap_details_x,Overlapping_genetic_feature_name_x,Rank_x,Synonymous_x,Upstream_nearest_genomic_feature_x,id,name,order,reason to exist,count,Overlap_y,Overlap_details_y,Known_Phenotype_y,Synonymous_y,Upstream_nearest_genomic_feature_y,Downstream_nearest_genomic_feature_y,Distance_to_nearest_upstream_y,Distance_to_nearest_downstream_y,Overlapping_genetic_feature_name_y,MAF_y,Rank_y
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N27M0P1,N2N27M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N24M1T3,N2N24M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N24M1T1,N2N24M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N24N31,N2N24N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N22M0P2,N2N22M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N22N24,N2N22N24,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N20N22,N2N20N22,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N16M1T2,N2N16M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N12M1T1,N2N12M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N12M0P1,N2N12M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N12N31,N2N12N31,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N12N24,N2N12N24,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N11N24,N2N11N24,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N11N12,N2N11N12,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N9N12,N2N9N12,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N4M2Q2,N2N4M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N3N20,N2N3N20,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N1N19N37,N1N19N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N1,N1,1,Presentation,1,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0M2Q2M2Q4,N0M2Q2M2Q4,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0,N0,1,Presentation,17,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N40M2Q2,N0N40M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N40M1T2,N0N40M1T2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N34N39,N0N34N39,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N31M1T3,N0N31M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N30M0P2,N0N30M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N29N33,N0N29N33,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N28M2Q2,N0N28M2Q2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N28M0P2,N0N28M0P2,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N26M1T3,N0N26M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N24M1T1,N0N24M1T1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N22M2Q3,N0N22M2Q3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N20N34,N0N20N34,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N17M0P1,N0N17M0P1,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N6M1T3,N0N6M1T3,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N6N19,N0N6N19,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N0N3N37,N0N3N37,3,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
